trader_id,rebalance_threshold,cash_reserve_ratio,min_cooldown_bars,rebalance_cycles,fill_count,ending_portfolio_value,total_return_pct
RB-SWEEP-012-003-12,0.12,0.03,12,213,471,111683.49637383,11.68349637383
RB-SWEEP-012-003-6,0.12,0.03,6,316,672,108991.5911031,8.9915911031
RB-SWEEP-010-002-12,0.10,0.02,12,213,469,108442.63451284,8.44263451284
RB-SWEEP-012-002-6,0.12,0.02,6,292,631,106731.89640572,6.73189640572
RB-SWEEP-012-002-12,0.12,0.02,12,193,445,101500.51309613,1.50051309613
RB-SWEEP-010-003-6,0.10,0.03,6,327,676,99216.87096778,-0.78312903222
RB-SWEEP-010-002-6,0.10,0.02,6,326,673,99137.04318282,-0.86295681718
RB-SWEEP-008-002-12,0.08,0.02,12,192,336,98900.67380895,-1.09932619105
RB-SWEEP-008-003-6,0.08,0.03,6,347,715,95988.20395664,-4.01179604336
RB-SWEEP-008-002-6,0.08,0.02,6,339,702,95182.5058892,-4.8174941108
RB-SWEEP-010-003-12,0.10,0.03,12,203,449,95012.20357182,-4.98779642818
RB-SWEEP-008-003-12,0.08,0.03,12,190,436,90234.46825423,-9.76553174577
