rebalance_threshold,cash_reserve_ratio,min_cooldown_secs,final_balance,total_return_pct,max_drawdown_pct,total_trades,sharpe_ratio,profit_factor
0.08,0.02,43200,32662.4794656,226.624794656,11.403398671632786,27,5.901790468297728,5.136558831493745
0.08,0.02,86400,31880.5180574,218.80518057400002,11.441654641352667,27,5.7845415665801925,4.7547636543138285
0.08,0.03,43200,32162.29852782,221.6229852782,11.4328333596112,27,6.39616470156829,4.824871138155091
0.08,0.03,86400,31374.30815429,213.7430815429,11.383324428446812,27,6.163871179820681,4.494852914156157
0.1,0.02,43200,27771.17117089,177.7117117089,11.934245774811645,27,4.870137260875422,4.287438143725245
0.1,0.02,86400,27510.25221752,175.1025221752,11.987587478306324,27,4.8797938981024425,4.249365370816475
0.1,0.03,43200,28983.67494924,189.8367494924,13.159735846691174,27,5.530412504444959,3.1672798242181934
0.1,0.03,86400,28930.51049973,189.3051049973,13.161212351797175,27,5.544671175993374,3.17141121271469
0.12,0.02,43200,28286.80380081,182.8680380081,10.968197269798562,27,5.511898691271526,3.2251744695916527
0.12,0.02,86400,27840.63774419,178.4063774419,11.821384477353703,27,5.321231392553239,3.098256039847204
0.12,0.03,43200,28388.67800983,183.8867800983,10.968197269798562,27,5.6247767268691184,3.2311721014067554
0.12,0.03,86400,27937.66205673,179.37662056730002,11.807471647711376,27,5.336448469878595,3.1061958375758425
